"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Autosampler model]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Parameter Value[Guard column]"	"Term Source REF"	"Term Accession Number"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"MN063A"	"Extraction"	"methanol/formic acid"	""	""	"Chromatography"	"Beckman Coulter System Gold HPLC 127 pump"	""	""	"System Gold HPLC 508 autosampler"	""	""	"Alltima HP C18 (3 μm, 2.1 mm x 150 mm; Alltech)"	"reverse phase"	"Alltima HP-Guard C18 (2.1 x 7.5 mm; Alltech)"	""	""	""	""	""	""	"Mass spectrometry"	"alternating"	"50–1500"	"Bruker Esquire 6000"	""	""	"electrospray ionization"	"MS"	""	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"MN063A"	"MN063A.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_the plasticity of the grapevine berry transcriptome_metabolite profiling_mass spectrometry_v2_maf.tsv"
"MN063B"	"Extraction"	"methanol/formic acid"	""	""	"Chromatography"	"Beckman Coulter System Gold HPLC 127 pump"	""	""	"System Gold HPLC 508 autosampler"	""	""	"Alltima HP C18 (3 μm, 2.1 mm x 150 mm; Alltech)"	"reverse phase"	"Alltima HP-Guard C18 (2.1 x 7.5 mm; Alltech)"	""	""	""	""	""	""	"Mass spectrometry"	"alternating"	"50–1500"	"Bruker Esquire 6000"	""	""	"electrospray ionization"	"MS"	""	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"MN063B"	"MN063B.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_the plasticity of the grapevine berry transcriptome_metabolite profiling_mass spectrometry_v2_maf.tsv"
"MN063C"	"Extraction"	"methanol/formic acid"	""	""	"Chromatography"	"Beckman Coulter System Gold HPLC 127 pump"	""	""	"System Gold HPLC 508 autosampler"	""	""	"Alltima HP C18 (3 μm, 2.1 mm x 150 mm; Alltech)"	"reverse phase"	"Alltima HP-Guard C18 (2.1 x 7.5 mm; Alltech)"	""	""	""	""	""	""	"Mass spectrometry"	"alternating"	"50–1500"	"Bruker Esquire 6000"	""	""	"electrospray ionization"	"MS"	""	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"MN063C"	"MN063C.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_the plasticity of the grapevine berry transcriptome_metabolite profiling_mass spectrometry_v2_maf.tsv"
"CS063A"	"Extraction"	"methanol/formic acid"	""	""	"Chromatography"	"Beckman Coulter System Gold HPLC 127 pump"	""	""	"System Gold HPLC 508 autosampler"	""	""	"Alltima HP C18 (3 μm, 2.1 mm x 150 mm; Alltech)"	"reverse phase"	"Alltima HP-Guard C18 (2.1 x 7.5 mm; Alltech)"	""	""	""	""	""	""	"Mass spectrometry"	"alternating"	"50–1500"	"Bruker Esquire 6000"	""	""	"electrospray ionization"	"MS"	""	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"CS063A"	"CS063A.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_the plasticity of the grapevine berry transcriptome_metabolite profiling_mass spectrometry_v2_maf.tsv"
"CS063B"	"Extraction"	"methanol/formic acid"	""	""	"Chromatography"	"Beckman Coulter System Gold HPLC 127 pump"	""	""	"System Gold HPLC 508 autosampler"	""	""	"Alltima HP C18 (3 μm, 2.1 mm x 150 mm; Alltech)"	"reverse phase"	"Alltima HP-Guard C18 (2.1 x 7.5 mm; Alltech)"	""	""	""	""	""	""	"Mass spectrometry"	"alternating"	"50–1500"	"Bruker Esquire 6000"	""	""	"electrospray ionization"	"MS"	""	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"CS063B"	"CS063B.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_the plasticity of the grapevine berry transcriptome_metabolite profiling_mass spectrometry_v2_maf.tsv"
"CS063C"	"Extraction"	"methanol/formic acid"	""	""	"Chromatography"	"Beckman Coulter System Gold HPLC 127 pump"	""	""	"System Gold HPLC 508 autosampler"	""	""	"Alltima HP C18 (3 μm, 2.1 mm x 150 mm; Alltech)"	"reverse phase"	"Alltima HP-Guard C18 (2.1 x 7.5 mm; Alltech)"	""	""	""	""	""	""	"Mass spectrometry"	"alternating"	"50–1500"	"Bruker Esquire 6000"	""	""	"electrospray ionization"	"MS"	""	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"CS063C"	"CS063C.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_the plasticity of the grapevine berry transcriptome_metabolite profiling_mass spectrometry_v2_maf.tsv"
"AM063A"	"Extraction"	"methanol/formic acid"	""	""	"Chromatography"	"Beckman Coulter System Gold HPLC 127 pump"	""	""	"System Gold HPLC 508 autosampler"	""	""	"Alltima HP C18 (3 μm, 2.1 mm x 150 mm; Alltech)"	"reverse phase"	"Alltima HP-Guard C18 (2.1 x 7.5 mm; Alltech)"	""	""	""	""	""	""	"Mass spectrometry"	"alternating"	"50–1500"	"Bruker Esquire 6000"	""	""	"electrospray ionization"	"MS"	""	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"AM063A"	"AM063A.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_the plasticity of the grapevine berry transcriptome_metabolite profiling_mass spectrometry_v2_maf.tsv"
"AM063B"	"Extraction"	"methanol/formic acid"	""	""	"Chromatography"	"Beckman Coulter System Gold HPLC 127 pump"	""	""	"System Gold HPLC 508 autosampler"	""	""	"Alltima HP C18 (3 μm, 2.1 mm x 150 mm; Alltech)"	"reverse phase"	"Alltima HP-Guard C18 (2.1 x 7.5 mm; Alltech)"	""	""	""	""	""	""	"Mass spectrometry"	"alternating"	"50–1500"	"Bruker Esquire 6000"	""	""	"electrospray ionization"	"MS"	""	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"AM063B"	"AM063B.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_the plasticity of the grapevine berry transcriptome_metabolite profiling_mass spectrometry_v2_maf.tsv"
"AM063C"	"Extraction"	"methanol/formic acid"	""	""	"Chromatography"	"Beckman Coulter System Gold HPLC 127 pump"	""	""	"System Gold HPLC 508 autosampler"	""	""	"Alltima HP C18 (3 μm, 2.1 mm x 150 mm; Alltech)"	"reverse phase"	"Alltima HP-Guard C18 (2.1 x 7.5 mm; Alltech)"	""	""	""	""	""	""	"Mass spectrometry"	"alternating"	"50–1500"	"Bruker Esquire 6000"	""	""	"electrospray ionization"	"MS"	""	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"AM063C"	"AM063C.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_the plasticity of the grapevine berry transcriptome_metabolite profiling_mass spectrometry_v2_maf.tsv"
"MN073A"	"Extraction"	"methanol/formic acid"	""	""	"Chromatography"	"Beckman Coulter System Gold HPLC 127 pump"	""	""	"System Gold HPLC 508 autosampler"	""	""	"Alltima HP C18 (3 μm, 2.1 mm x 150 mm; Alltech)"	"reverse phase"	"Alltima HP-Guard C18 (2.1 x 7.5 mm; Alltech)"	""	""	""	""	""	""	"Mass spectrometry"	"alternating"	"50–1500"	"Bruker Esquire 6000"	""	""	"electrospray ionization"	"MS"	""	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"MN073A"	"MN073A.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_the plasticity of the grapevine berry transcriptome_metabolite profiling_mass spectrometry_v2_maf.tsv"
