"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Year of Harvesting]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Vineyard]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"
"Vineyard MN,Year 2006,Stage 3,Rep. A"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"MN063A"	"2006"	""	""	"Vineyard MN"	""	""	"A"	""	""
"Vineyard MN,Year 2006,Stage 3,Rep. B"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"MN063B"	"2006"	""	""	"Vineyard MN"	""	""	"B"	""	""
"Vineyard MN,Year 2006,Stage 3,Rep. C"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"MN063C"	"2006"	""	""	"Vineyard MN"	""	""	"C"	""	""
"Vineyard CS,Year 2006,Stage 3,Rep. A"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"CS063A"	"2006"	""	""	"Vineyard CS"	""	""	"A"	""	""
"Vineyard CS,Year 2006,Stage 3,Rep. B"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"CS063B"	"2006"	""	""	"Vineyard CS"	""	""	"B"	""	""
"Vineyard CS,Year 2006,Stage 3,Rep. C"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"CS063C"	"2006"	""	""	"Vineyard CS"	""	""	"C"	""	""
"Vineyard AM,Year 2006,Stage 3,Rep. A"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"AM063A"	"2006"	""	""	"Vineyard AM"	""	""	"A"	""	""
"Vineyard AM,Year 2006,Stage 3,Rep. B"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"AM063B"	"2006"	""	""	"Vineyard AM"	""	""	"B"	""	""
"Vineyard AM,Year 2006,Stage 3,Rep. C"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"AM063C"	"2006"	""	""	"Vineyard AM"	""	""	"C"	""	""
"Vineyard MN,Year 2007,Stage 3,Rep. A"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"MN073A"	"2006"	""	""	"Vineyard MN"	""	""	"A"	""	""
"Vineyard MN,Year 2007,Stage 3,Rep. B"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"MN073B"	"2006"	""	""	"Vineyard MN"	""	""	"B"	""	""
"Vineyard MN,Year 2007,Stage 3,Rep. C"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"MN073C"	"2006"	""	""	"Vineyard MN"	""	""	"C"	""	""
"Vineyard CS,Year 2007,Stage 3,Rep. A"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"CS073A"	"2007"	""	""	"Vineyard CS"	""	""	"A"	""	""
"Vineyard CS,Year 2007,Stage 3,Rep. B"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"CS073B"	"2007"	""	""	"Vineyard CS"	""	""	"B"	""	""
"Vineyard CS,Year 2007,Stage 3,Rep. C"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"CS073C"	"2007"	""	""	"Vineyard CS"	""	""	"C"	""	""
"Vineyard AM,Year 2007,Stage 3,Rep. A"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"AM073A"	"2007"	""	""	"Vineyard AM"	""	""	"A"	""	""
"Vineyard AM,Year 2007,Stage 3,Rep. B"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"AM073B"	"2007"	""	""	"Vineyard AM"	""	""	"B"	""	""
"Vineyard AM,Year 2007,Stage 3,Rep. C"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"AM073C"	"2007"	""	""	"Vineyard AM"	""	""	"C"	""	""
"Vineyard MN,Year 2008,Stage 3,Rep. A"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"MN083A"	"2008"	""	""	"Vineyard MN"	""	""	"A"	""	""
"Vineyard MN,Year 2008,Stage 3,Rep. B"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"MN083B"	"2008"	""	""	"Vineyard MN"	""	""	"B"	""	""
"Vineyard MN,Year 2008,Stage 3,Rep. C"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"MN083C"	"2008"	""	""	"Vineyard MN"	""	""	"C"	""	""
"Vineyard CS,Year 2008,Stage 3,Rep. A"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"CS083A"	"2008"	""	""	"Vineyard CS"	""	""	"A"	""	""
"Vineyard CS,Year 2008,Stage 3,Rep. B"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"CS083B"	"2008"	""	""	"Vineyard CS"	""	""	"B"	""	""
"Vineyard CS,Year 2008,Stage 3,Rep. C"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"CS083C"	"2008"	""	""	"Vineyard CS"	""	""	"C"	""	""
"Vineyard AM,Year 2008,Stage 3,Rep. A"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"AM083A"	"2008"	""	""	"Vineyard AM"	""	""	"A"	""	""
"Vineyard AM,Year 2008,Stage 3,Rep. B"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"AM083B"	"2008"	""	""	"Vineyard AM"	""	""	"B"	""	""
"Vineyard AM,Year 2008,Stage 3,Rep. C"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"AM083C"	"2008"	""	""	"Vineyard AM"	""	""	"C"	""	""
