Sample Name	Protocol REF	Extract Name	Protocol REF	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Protocol REF	Array Data File	Protocol REF	Derived Array Data File
C-0.07-aliquot1	mRNA extraction	C-0.07-aliquot1	biotin labeling	C-0.07-aliquot1	biotin	CHEBI	http://purl.obolibrary.org/obo/CHEBI_15956	EukGE-WS4	unknown	E-MEXP-115-raw-data-331217737.txt	unknown	E-MEXP-115-processed-data-1341986893.txt
C-0.07-aliquot2	mRNA extraction	C-0.07-aliquot2	biotin labeling	C-0.07-aliquot2	biotin	CHEBI	http://purl.obolibrary.org/obo/CHEBI_15956	EukGE-WS4	unknown	E-MEXP-115-raw-data-331217860.txt	unknown	E-MEXP-115-processed-data-1341986893.txt
C-0.07-aliquot3	mRNA extraction	C-0.07-aliquot3	biotin labeling	C-0.07-aliquot3	biotin	CHEBI	http://purl.obolibrary.org/obo/CHEBI_15956	EukGE-WS4	unknown	E-MEXP-115-raw-data-331217979.txt	unknown	E-MEXP-115-processed-data-1341986893.txt
C-0.07-aliquot4	mRNA extraction	C-0.07-aliquot4	biotin labeling	C-0.07-aliquot4	biotin	CHEBI	http://purl.obolibrary.org/obo/CHEBI_15956	EukGE-WS4	unknown	E-MEXP-115-raw-data-331217580.txt	unknown	E-MEXP-115-processed-data-1341986893.txt
C-0.1-aliquot1	mRNA extraction	C-0.1-aliquot1	biotin labeling	C-0.1-aliquot1	biotin	CHEBI	http://purl.obolibrary.org/obo/CHEBI_15956	EukGE-WS4	unknown	E-MEXP-115-raw-data-331218271.txt	unknown	E-MEXP-115-processed-data-1341986893.txt
C-0.1-aliquot2	mRNA extraction	C-0.1-aliquot2	biotin labeling	C-0.1-aliquot2	biotin	CHEBI	http://purl.obolibrary.org/obo/CHEBI_15956	EukGE-WS4	unknown	E-MEXP-115-raw-data-331218449.txt	unknown	E-MEXP-115-processed-data-1341986893.txt
C-0.1-aliquot3	mRNA extraction	C-0.1-aliquot3	biotin labeling	C-0.1-aliquot3	biotin	CHEBI	http://purl.obolibrary.org/obo/CHEBI_15956	EukGE-WS4	unknown	E-MEXP-115-raw-data-331218681.txt	unknown	E-MEXP-115-processed-data-1341986893.txt
C-0.1-aliquot4	mRNA extraction	C-0.1-aliquot4	biotin labeling	C-0.1-aliquot4	biotin	CHEBI	http://purl.obolibrary.org/obo/CHEBI_15956	EukGE-WS4	unknown	E-MEXP-115-raw-data-331218116.txt	unknown	E-MEXP-115-processed-data-1341986893.txt
C-0.2-aliquot1	mRNA extraction	C-0.2-aliquot1	biotin labeling	C-0.2-aliquot1	biotin	CHEBI	http://purl.obolibrary.org/obo/CHEBI_15956	EukGE-WS4	unknown	E-MEXP-115-raw-data-331219013.txt	unknown	E-MEXP-115-processed-data-1341986893.txt
C-0.2-aliquot2	mRNA extraction	C-0.2-aliquot2	biotin labeling	C-0.2-aliquot2	biotin	CHEBI	http://purl.obolibrary.org/obo/CHEBI_15956	EukGE-WS4	unknown	E-MEXP-115-raw-data-331218842.txt	unknown	E-MEXP-115-processed-data-1341986893.txt
C-0.2-aliquot3	mRNA extraction	C-0.2-aliquot3	biotin labeling	C-0.2-aliquot3	biotin	CHEBI	http://purl.obolibrary.org/obo/CHEBI_15956	EukGE-WS4	unknown	E-MEXP-115-raw-data-331219245.txt	unknown	E-MEXP-115-processed-data-1341986893.txt
