Source Name	Characteristics[organism]	Term Source REF	Characteristics[strain]	Characteristics[genotype]	Protocol REF	Sample Name	Factor Value[limiting nutrient]	Factor Value[rate]	Unit	Protocol REF	Protocol REF	Protocol REF	Array Data File	Protocol REF	Protocol REF	Derived Array Data File
culture1	Saccharomyces cerevisiae (Baker's yeast)	NEWT	FY1679	KanMx4 MATa/MATalpha ura3-52/ura3-52 leu2-1/+trp1-63/+his3-D200/+ hoD KanMx4/hoD	growth protocol	C-0.07-aliquot2	carbon	0.07	l/hour	mRNA extraction	biotin labeling	EukGE-WS4	E-MEXP-115-raw-data-331217860.txt	unknown protocol	unknown protocol	E-MEXP-115-processed-data-1341986893.txt
culture1	Saccharomyces cerevisiae (Baker's yeast)	NEWT	FY1679	KanMx4 MATa/MATalpha ura3-52/ura3-52 leu2-1/+trp1-63/+his3-D200/+ hoD KanMx4/hoD	growth protocol	C-0.07-aliquot4	carbon	0.07	l/hour	mRNA extraction	biotin labeling	EukGE-WS4	E-MEXP-115-raw-data-331217580.txt	unknown protocol	unknown protocol	E-MEXP-115-processed-data-1341986893.txt
culture1	Saccharomyces cerevisiae (Baker's yeast)	NEWT	FY1679	KanMx4 MATa/MATalpha ura3-52/ura3-52 leu2-1/+trp1-63/+his3-D200/+ hoD KanMx4/hoD	growth protocol	C-0.07-aliquot1	carbon	0.07	l/hour	mRNA extraction	biotin labeling	EukGE-WS4	E-MEXP-115-raw-data-331217737.txt	unknown protocol	unknown protocol	E-MEXP-115-processed-data-1341986893.txt
culture1	Saccharomyces cerevisiae (Baker's yeast)	NEWT	FY1679	KanMx4 MATa/MATalpha ura3-52/ura3-52 leu2-1/+trp1-63/+his3-D200/+ hoD KanMx4/hoD	growth protocol	C-0.07-aliquot3	carbon	0.07	l/hour	mRNA extraction	biotin labeling	EukGE-WS4	E-MEXP-115-raw-data-331217979.txt	unknown protocol	unknown protocol	E-MEXP-115-processed-data-1341986893.txt
culture10	Saccharomyces cerevisiae (Baker's yeast)	NEWT	FY1679	KanMx4 MATa/MATalpha ura3-52/ura3-52 leu2-1/+trp1-63/+his3-D200/+ hoD KanMx4/hoD	growth protocol	S-0.07-aliquot2	sulphur	0.07	l/hour	mRNA extraction	biotin labeling	EukGE-WS4	E-MEXP-115-raw-data-331223835.txt	unknown protocol	unknown protocol	E-MEXP-115-processed-data-1341986893.txt
culture10	Saccharomyces cerevisiae (Baker's yeast)	NEWT	FY1679	KanMx4 MATa/MATalpha ura3-52/ura3-52 leu2-1/+trp1-63/+his3-D200/+ hoD KanMx4/hoD	growth protocol	S-0.07-aliquot3	sulphur	0.07	l/hour	mRNA extraction	biotin labeling	EukGE-WS4	E-MEXP-115-raw-data-331223977.txt	unknown protocol	unknown protocol	E-MEXP-115-processed-data-1341986893.txt
culture10	Saccharomyces cerevisiae (Baker's yeast)	NEWT	FY1679	KanMx4 MATa/MATalpha ura3-52/ura3-52 leu2-1/+trp1-63/+his3-D200/+ hoD KanMx4/hoD	growth protocol	S-0.07-aliquot4	sulphur	0.07	l/hour	mRNA extraction	biotin labeling	EukGE-WS4	E-MEXP-115-raw-data-331223501.txt	unknown protocol	unknown protocol	E-MEXP-115-processed-data-1341986893.txt
culture10	Saccharomyces cerevisiae (Baker's yeast)	NEWT	FY1679	KanMx4 MATa/MATalpha ura3-52/ura3-52 leu2-1/+trp1-63/+his3-D200/+ hoD KanMx4/hoD	growth protocol	S-0.07-aliquot1	sulphur	0.07	l/hour	mRNA extraction	biotin labeling	EukGE-WS4	E-MEXP-115-raw-data-331223667.txt	unknown protocol	unknown protocol	E-MEXP-115-processed-data-1341986893.txt
culture11	Saccharomyces cerevisiae (Baker's yeast)	NEWT	FY1679	KanMx4 MATa/MATalpha ura3-52/ura3-52 leu2-1/+trp1-63/+his3-D200/+ hoD KanMx4/hoD	growth protocol	S-0.1-aliquot4	sulphur	0.1	l/hour	mRNA extraction	biotin labeling	EukGE-WS4	E-MEXP-115-raw-data-331224480.txt	unknown protocol	unknown protocol	E-MEXP-115-processed-data-1341986893.txt
culture11	Saccharomyces cerevisiae (Baker's yeast)	NEWT	FY1679	KanMx4 MATa/MATalpha ura3-52/ura3-52 leu2-1/+trp1-63/+his3-D200/+ hoD KanMx4/hoD	growth protocol	S-0.1-aliquot3	sulphur	0.1	l/hour	mRNA extraction	biotin labeling	EukGE-WS4	E-MEXP-115-raw-data-331224703.txt	unknown protocol	unknown protocol	E-MEXP-115-processed-data-1341986893.txt
culture11	Saccharomyces cerevisiae (Baker's yeast)	NEWT	FY1679	KanMx4 MATa/MATalpha ura3-52/ura3-52 leu2-1/+trp1-63/+his3-D200/+ hoD KanMx4/hoD	growth protocol	S-0.1-aliquot2	sulphur	0.1	l/hour	mRNA extraction	biotin labeling	EukGE-WS4	E-MEXP-115-raw-data-331224145.txt	unknown protocol	unknown protocol	E-MEXP-115-processed-data-1341986893.txt
culture11	Saccharomyces cerevisiae (Baker's yeast)	NEWT	FY1679	KanMx4 MATa/MATalpha ura3-52/ura3-52 leu2-1/+trp1-63/+his3-D200/+ hoD KanMx4/hoD	growth protocol	S-0.1-aliquot1	sulphur	0.1	l/hour	mRNA extraction	biotin labeling	EukGE-WS4	E-MEXP-115-raw-data-331224301.txt	unknown protocol	unknown protocol	E-MEXP-115-processed-data-1341986893.txt
culture12	Saccharomyces cerevisiae (Baker's yeast)	NEWT	FY1679	KanMx4 MATa/MATalpha ura3-52/ura3-52 leu2-1/+trp1-63/+his3-D200/+ hoD KanMx4/hoD	growth protocol	S-0.2-aliquot2	sulphur	0.2	l/hour	mRNA extraction	biotin labeling	EukGE-WS4	E-MEXP-115-raw-data-331225401.txt	unknown protocol	unknown protocol	E-MEXP-115-processed-data-1341986893.txt
culture12	Saccharomyces cerevisiae (Baker's yeast)	NEWT	FY1679	KanMx4 MATa/MATalpha ura3-52/ura3-52 leu2-1/+trp1-63/+his3-D200/+ hoD KanMx4/hoD	growth protocol	S-0.2-aliquot4	sulphur	0.2	l/hour	mRNA extraction	biotin labeling	EukGE-WS4	E-MEXP-115-raw-data-331225235.txt	unknown protocol	unknown protocol	E-MEXP-115-processed-data-1341986893.txt
culture12	Saccharomyces cerevisiae (Baker's yeast)	NEWT	FY1679	KanMx4 MATa/MATalpha ura3-52/ura3-52 leu2-1/+trp1-63/+his3-D200/+ hoD KanMx4/hoD	growth protocol	S-0.2-aliquot1	sulphur	0.2	l/hour	mRNA extraction	biotin labeling	EukGE-WS4	E-MEXP-115-raw-data-331224884.txt	unknown protocol	unknown protocol	E-MEXP-115-processed-data-1341986893.txt
culture12	Saccharomyces cerevisiae (Baker's yeast)	NEWT	FY1679	KanMx4 MATa/MATalpha ura3-52/ura3-52 leu2-1/+trp1-63/+his3-D200/+ hoD KanMx4/hoD	growth protocol	S-0.2-aliquot3	sulphur	0.2	l/hour	mRNA extraction	biotin labeling	EukGE-WS4	E-MEXP-115-raw-data-331225097.txt	unknown protocol	unknown protocol	E-MEXP-115-processed-data-1341986893.txt
culture2	Saccharomyces cerevisiae (Baker's yeast)	NEWT	FY1679	KanMx4 MATa/MATalpha ura3-52/ura3-52 leu2-1/+trp1-63/+his3-D200/+ hoD KanMx4/hoD	growth protocol	C-0.1-aliquot4	carbon	0.1	l/hour	mRNA extraction	biotin labeling	EukGE-WS4	E-MEXP-115-raw-data-331218116.txt	unknown protocol	unknown protocol	E-MEXP-115-processed-data-1341986893.txt
culture2	Saccharomyces cerevisiae (Baker's yeast)	NEWT	FY1679	KanMx4 MATa/MATalpha ura3-52/ura3-52 leu2-1/+trp1-63/+his3-D200/+ hoD KanMx4/hoD	growth protocol	C-0.1-aliquot1	carbon	0.1	l/hour	mRNA extraction	biotin labeling	EukGE-WS4	E-MEXP-115-raw-data-331218271.txt	unknown protocol	unknown protocol	E-MEXP-115-processed-data-1341986893.txt
culture2	Saccharomyces cerevisiae (Baker's yeast)	NEWT	FY1679	KanMx4 MATa/MATalpha ura3-52/ura3-52 leu2-1/+trp1-63/+his3-D200/+ hoD KanMx4/hoD	growth protocol	C-0.1-aliquot2	carbon	0.1	l/hour	mRNA extraction	biotin labeling	EukGE-WS4	E-MEXP-115-raw-data-331218449.txt	unknown protocol	unknown protocol	E-MEXP-115-processed-data-1341986893.txt
culture2	Saccharomyces cerevisiae (Baker's yeast)	NEWT	FY1679	KanMx4 MATa/MATalpha ura3-52/ura3-52 leu2-1/+trp1-63/+his3-D200/+ hoD KanMx4/hoD	growth protocol	C-0.1-aliquot3	carbon	0.1	l/hour	mRNA extraction	biotin labeling	EukGE-WS4	E-MEXP-115-raw-data-331218681.txt	unknown protocol	unknown protocol	E-MEXP-115-processed-data-1341986893.txt
culture3	Saccharomyces cerevisiae (Baker's yeast)	NEWT	FY1679	KanMx4 MATa/MATalpha ura3-52/ura3-52 leu2-1/+trp1-63/+his3-D200/+ hoD KanMx4/hoD	growth protocol	C-0.2-aliquot4	carbon	0.2	l/hour	mRNA extraction	biotin labeling	EukGE-WS4	E-MEXP-115-raw-data-331219131.txt	unknown protocol	unknown protocol	E-MEXP-115-processed-data-1341986893.txt
culture3	Saccharomyces cerevisiae (Baker's yeast)	NEWT	FY1679	KanMx4 MATa/MATalpha ura3-52/ura3-52 leu2-1/+trp1-63/+his3-D200/+ hoD KanMx4/hoD	growth protocol	C-0.2-aliquot3	carbon	0.2	l/hour	mRNA extraction	biotin labeling	EukGE-WS4	E-MEXP-115-raw-data-331219245.txt	unknown protocol	unknown protocol	E-MEXP-115-processed-data-1341986893.txt
culture3	Saccharomyces cerevisiae (Baker's yeast)	NEWT	FY1679	KanMx4 MATa/MATalpha ura3-52/ura3-52 leu2-1/+trp1-63/+his3-D200/+ hoD KanMx4/hoD	growth protocol	C-0.2-aliquot2	carbon	0.2	l/hour	mRNA extraction	biotin labeling	EukGE-WS4	E-MEXP-115-raw-data-331218842.txt	unknown protocol	unknown protocol	E-MEXP-115-processed-data-1341986893.txt
culture3	Saccharomyces cerevisiae (Baker's yeast)	NEWT	FY1679	KanMx4 MATa/MATalpha ura3-52/ura3-52 leu2-1/+trp1-63/+his3-D200/+ hoD KanMx4/hoD	growth protocol	C-0.2-aliquot1	carbon	0.2	l/hour	mRNA extraction	biotin labeling	EukGE-WS4	E-MEXP-115-raw-data-331219013.txt	unknown protocol	unknown protocol	E-MEXP-115-processed-data-1341986893.txt
culture4	Saccharomyces cerevisiae (Baker's yeast)	NEWT	FY1679	KanMx4 MATa/MATalpha ura3-52/ura3-52 leu2-1/+trp1-63/+his3-D200/+ hoD KanMx4/hoD	growth protocol	N-0.07-aliquot4	nitrogen	0.07	l/hour	mRNA extraction	biotin labeling	EukGE-WS4	E-MEXP-115-raw-data-331219490.txt	unknown protocol	unknown protocol	E-MEXP-115-processed-data-1341986893.txt
culture4	Saccharomyces cerevisiae (Baker's yeast)	NEWT	FY1679	KanMx4 MATa/MATalpha ura3-52/ura3-52 leu2-1/+trp1-63/+his3-D200/+ hoD KanMx4/hoD	growth protocol	N-0.07-aliquot3	nitrogen	0.07	l/hour	mRNA extraction	biotin labeling	EukGE-WS4	E-MEXP-115-raw-data-331219767.txt	unknown protocol	unknown protocol	E-MEXP-115-processed-data-1341986893.txt
culture4	Saccharomyces cerevisiae (Baker's yeast)	NEWT	FY1679	KanMx4 MATa/MATalpha ura3-52/ura3-52 leu2-1/+trp1-63/+his3-D200/+ hoD KanMx4/hoD	growth protocol	N-0.07-aliquot2	nitrogen	0.07	l/hour	mRNA extraction	biotin labeling	EukGE-WS4	E-MEXP-115-raw-data-331219634.txt	unknown protocol	unknown protocol	E-MEXP-115-processed-data-1341986893.txt
culture4	Saccharomyces cerevisiae (Baker's yeast)	NEWT	FY1679	KanMx4 MATa/MATalpha ura3-52/ura3-52 leu2-1/+trp1-63/+his3-D200/+ hoD KanMx4/hoD	growth protocol	N-0.07-aliquot1	nitrogen	0.07	l/hour	mRNA extraction	biotin labeling	EukGE-WS4	E-MEXP-115-raw-data-331219361.txt	unknown protocol	unknown protocol	E-MEXP-115-processed-data-1341986893.txt
culture5	Saccharomyces cerevisiae (Baker's yeast)	NEWT	FY1679	KanMx4 MATa/MATalpha ura3-52/ura3-52 leu2-1/+trp1-63/+his3-D200/+ hoD KanMx4/hoD	growth protocol	N-0.1-aliquot4	nitrogen	0.1	l/hour	mRNA extraction	biotin labeling	EukGE-WS4	E-MEXP-115-raw-data-331220090.txt	unknown protocol	unknown protocol	E-MEXP-115-processed-data-1341986893.txt
culture5	Saccharomyces cerevisiae (Baker's yeast)	NEWT	FY1679	KanMx4 MATa/MATalpha ura3-52/ura3-52 leu2-1/+trp1-63/+his3-D200/+ hoD KanMx4/hoD	growth protocol	N-0.1-aliquot3	nitrogen	0.1	l/hour	mRNA extraction	biotin labeling	EukGE-WS4	E-MEXP-115-raw-data-331220272.txt	unknown protocol	unknown protocol	E-MEXP-115-processed-data-1341986893.txt
culture5	Saccharomyces cerevisiae (Baker's yeast)	NEWT	FY1679	KanMx4 MATa/MATalpha ura3-52/ura3-52 leu2-1/+trp1-63/+his3-D200/+ hoD KanMx4/hoD	growth protocol	N-0.1-aliquot2	nitrogen	0.1	l/hour	mRNA extraction	biotin labeling	EukGE-WS4	E-MEXP-115-raw-data-331219914.txt	unknown protocol	unknown protocol	E-MEXP-115-processed-data-1341986893.txt
culture5	Saccharomyces cerevisiae (Baker's yeast)	NEWT	FY1679	KanMx4 MATa/MATalpha ura3-52/ura3-52 leu2-1/+trp1-63/+his3-D200/+ hoD KanMx4/hoD	growth protocol	N-0.1-aliquot1	nitrogen	0.1	l/hour	mRNA extraction	biotin labeling	EukGE-WS4	E-MEXP-115-raw-data-331220431.txt	unknown protocol	unknown protocol	E-MEXP-115-processed-data-1341986893.txt
culture6	Saccharomyces cerevisiae (Baker's yeast)	NEWT	FY1679	KanMx4 MATa/MATalpha ura3-52/ura3-52 leu2-1/+trp1-63/+his3-D200/+ hoD KanMx4/hoD	growth protocol	N-0.2-aliquot1	nitrogen	0.2	l/hour	mRNA extraction	biotin labeling	EukGE-WS4	E-MEXP-115-raw-data-331221148.txt	unknown protocol	unknown protocol	E-MEXP-115-processed-data-1341986893.txt
culture6	Saccharomyces cerevisiae (Baker's yeast)	NEWT	FY1679	KanMx4 MATa/MATalpha ura3-52/ura3-52 leu2-1/+trp1-63/+his3-D200/+ hoD KanMx4/hoD	growth protocol	N-0.2-aliquot4	nitrogen	0.2	l/hour	mRNA extraction	biotin labeling	EukGE-WS4	E-MEXP-115-raw-data-331220607.txt	unknown protocol	unknown protocol	E-MEXP-115-processed-data-1341986893.txt
culture6	Saccharomyces cerevisiae (Baker's yeast)	NEWT	FY1679	KanMx4 MATa/MATalpha ura3-52/ura3-52 leu2-1/+trp1-63/+his3-D200/+ hoD KanMx4/hoD	growth protocol	N-0.2-aliquot3	nitrogen	0.2	l/hour	mRNA extraction	biotin labeling	EukGE-WS4	E-MEXP-115-raw-data-331220784.txt	unknown protocol	unknown protocol	E-MEXP-115-processed-data-1341986893.txt
culture6	Saccharomyces cerevisiae (Baker's yeast)	NEWT	FY1679	KanMx4 MATa/MATalpha ura3-52/ura3-52 leu2-1/+trp1-63/+his3-D200/+ hoD KanMx4/hoD	growth protocol	N-0.2-aliquot2	nitrogen	0.2	l/hour	mRNA extraction	biotin labeling	EukGE-WS4	E-MEXP-115-raw-data-331220982.txt	unknown protocol	unknown protocol	E-MEXP-115-processed-data-1341986893.txt
culture7	Saccharomyces cerevisiae (Baker's yeast)	NEWT	FY1679	KanMx4 MATa/MATalpha ura3-52/ura3-52 leu2-1/+trp1-63/+his3-D200/+ hoD KanMx4/hoD	growth protocol	P-0.07-aliquot4	phosphorus	0.07	l/hour	mRNA extraction	biotin labeling	EukGE-WS4	E-MEXP-115-raw-data-331221668.txt	unknown protocol	unknown protocol	E-MEXP-115-processed-data-1341986893.txt
culture7	Saccharomyces cerevisiae (Baker's yeast)	NEWT	FY1679	KanMx4 MATa/MATalpha ura3-52/ura3-52 leu2-1/+trp1-63/+his3-D200/+ hoD KanMx4/hoD	growth protocol	P-0.07-aliquot3	phosphorus	0.07	l/hour	mRNA extraction	biotin labeling	EukGE-WS4	E-MEXP-115-raw-data-331221345.txt	unknown protocol	unknown protocol	E-MEXP-115-processed-data-1341986893.txt
culture7	Saccharomyces cerevisiae (Baker's yeast)	NEWT	FY1679	KanMx4 MATa/MATalpha ura3-52/ura3-52 leu2-1/+trp1-63/+his3-D200/+ hoD KanMx4/hoD	growth protocol	P-0.07-aliquot2	phosphorus	0.07	l/hour	mRNA extraction	biotin labeling	EukGE-WS4	E-MEXP-115-raw-data-331221873.txt	unknown protocol	unknown protocol	E-MEXP-115-processed-data-1341986893.txt
culture7	Saccharomyces cerevisiae (Baker's yeast)	NEWT	FY1679	KanMx4 MATa/MATalpha ura3-52/ura3-52 leu2-1/+trp1-63/+his3-D200/+ hoD KanMx4/hoD	growth protocol	P-0.07-aliquot1	phosphorus	0.07	l/hour	mRNA extraction	biotin labeling	EukGE-WS4	E-MEXP-115-raw-data-331221518.txt	unknown protocol	unknown protocol	E-MEXP-115-processed-data-1341986893.txt
culture8	Saccharomyces cerevisiae (Baker's yeast)	NEWT	FY1679	KanMx4 MATa/MATalpha ura3-52/ura3-52 leu2-1/+trp1-63/+his3-D200/+ hoD KanMx4/hoD	growth protocol	P-0.1-aliquot1	phosphorus	0.1	l/hour	mRNA extraction	biotin labeling	EukGE-WS4	E-MEXP-115-raw-data-331222534.txt	unknown protocol	unknown protocol	E-MEXP-115-processed-data-1341986893.txt
